,english,french,translation
15,"Earlier this month, on January 9, the new weather forecasting centre opened at the Gander International Airport terminal. It marked the first time since July 5, 2004, that the forecast originated in Newfoundland and Labrador.","´ ´ Desireux de souligner les efforts de ces deux candidats pour attirer l’attention du monde sur l’impact des changements climatiques, les ´ ´ ´ ´ deputes norvegiens voulaient egalement signaler leur contribution au developpement de solutions concretes a ce probleme.","Ça fait un mois que, le 9 janvier, le nouvel centre de prévision météorologique s'est ouvert à l'aéroport international de Gander. C'est la première fois depuis le 5 juillet 2004 que le prévisionniste est originaire de Terre-Neuve-et-Labrador.

</s>"
16,"It is also positive because it marks a return of much needed federal jobs to my province. Honourable senators, I would like to commend and congratulate Gander resident Pat Dwyer.",´ ˆ ` ´ ´ C’est au cours de ses premieres annees en tant que presidente de la ´ Conference circumpolaire inuit qu’elle a reussi a convaincre les Etats ´ ´ ` membres de cet organisme de signer un accord visant a interdire la ` production et l’utilisation de polluants qui contaminent la chaıˆ ne alimentaire de l’Arctique.,"Être un employé fédéral est une bonne chose, parce que c’est une bonne chose pour mon province. Je voudrais féliciter Pat Dwyer, qui est originaire de Gander. ##

Please note that the content of this book is machine-translated.

### French:

Ce n’est pas une bonne chose parce que les services de la patrouille sont laissés à des gens qui"
17,Pat decided to get involved because he was concerned for the lives of people living in this province who travel the highways and the seas.,"Elle ´ recevait, au cours de la meme annee, le Prix Hommage pour ˆ ´ l’ensemble de ses realisations lors de la remise des Prix canadiens de l’environnement. . (1405)","2007-11-26: Pat a été choisi parce qu'il s'intéresse aux personnes vivant dans la province qui voyagent sur les routes et les mers. ##
<div class=""applet"">
<p>
<img src=""images/pictures/pat-logo.png"
18,"I also thank and commend Pat Dwyer for taking the initiative to organize the petition and to get out in the community and mobilize people around this issue. He really raised the profile of the weather forecasting situation, and I believe his efforts were","` Cette nouvelle est particulierement importante dans une province ´ ´ comme la mienne, ou les conditions me te orologiques sont ` ´ ´ ´ exceptionnelles et ou les previsions meteorologiques revetent une ` ˆ ´ importance fondamentale pour les industries robustes axees sur l’environnement et les technologies oceaniques.", * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
19,"During her early years as chair of the Inuit Circumpolar Council, she succeeded in convincing the organization’s member States to sign an agreement banning the production and use of pollutants that contaminate the Arctic food chain.","Je suis ravie de constater qu’il passe ` ´ maintenant a l’action. Il a dit qu’il allait re´ tablir le service regional ´ ´ ´ de previsions meteorologiques, et il a encore une fois tenu sa promesse.","3e présidente de l'Alliance circumpolaire inuit. ##

## Source

* [[Arctic Council]]

## Created

1993

## Tags

[[Inuit Circumpolar Council]]
[[Inuit]]
[[Inuit Circumpolar Council]]
[[Inuit]]
[[Inuit Circumpolar Council]]
[[Inuit]]
[[Inuit Circumpolar Council]]
[[Inuit]]
[[Inuit Circumpolar Council]]
[[Inuit]]
"
20,"Hon. Claudette Tardif (Deputy Leader of the Opposition): Honourable senators, yesterday Radio-Canada released the results of a survey it commissioned to mark the fortieth anniversary of the Laurendeau-Dunton Royal Commission, which led to the adoption of the Official Languages Act in 1969.","L’honorable Claudette Tardif (leader adjoint de l’opposition) : ´ ´ ´ Honorables senateurs, hier, la Societe Radio-Canada rendait publics les resultats d’un sondage qu’elle a commande afin de souligner le ´ ´ e 40 anniversaire de la Commission royale d’enquete Laurendeauˆ Dunton, dont les travaux ont mene a l’adoption de la Loi sur les ´ ` langues officielles en 1969.","Ça fait 40 ans que le gouvernement du Canada a mis en place le Comité Laurendeau-Dunton. Ce comité a fait l’objet d’un sondage réalisé par Radio-Canada. ## English: Forty years ago, the federal government set up the Laurendeau-Dunton Committee. This committee was the subject of a survey commissioned by Radio-Canada. ## French: Radio-Canada a fait un sondage sur la perception des Québécois des services en langue française et des services en langue anglaise. ## English: Radio-Canada conducted a survey on the perception of the Québécois of the services in French and in English. ## French: Les résultats sont troublants. ## English: The results are trou"
21,"Honourable senators, I give notice that at the next sitting of the Senate I shall move: That the papers and evidence received and taken and the work accomplished by the Standing Senate Committee on Aboriginal Peoples during the First session of the Thirty-eighth Parliament during its study of the subject matter of Bill S-16, An Act providing for the Crown’s recognition of self-governing First Nations of Canada, be referred to the said Committee for its study on Bill S-216, An Act providing for the Crown’s recognition of self-governing First Nations of Canada.","Honorables senateurs, je donne ´ ` ´ ´ avis que, a la prochaine seance du Senat, je proposerai : ´ Que les documents recus, les temoignages entendus et les ¸ ´ ´ travaux accomplis par le Comite senatorial permanent des ` peuples autochtones au cours de la premiere session de la ` ´ ´ trente-huitieme legislature pendant son etude de la teneur du ´ projet de loi S-16, Loi prevoyant la reconnaissance par la Couronne de l’autonomie gouvernementale des premie` res nations du Canada, soient renvoyes audit Comite pour son ´ ´ etude sur le projet de loi S-16, Loi prevoyant la reconnaissance ´ ´ par la Couronne de l’autonomie gouvernementale des ` premieres nations du Canada.","1. Les honorables senateurs, je donne avis que, au prochain meeting du Senat, je ferai la motion suivante: Que les documents et les evidences reçus et prises et le travail accompli par la Commission permanente du Senat sur les Peuples autochtones au cours de la première session de la trente-huitième législature pendant son étude du sujet-matière de la Loi S-16, An Act providing for the Crown’s recognition of self-governing First Nations of Canada, soient renvoyés à la dite Commission pour son étude sur la Loi S-216, An Act providing for the Crown’s recognition of self-governing First Nations of Canada. 2. Les honorables senateurs, je donne avis que, au prochain meeting du Senat, je ferai la motion suivante: Que les documents et les evidences reçus et prises et le travail accompli par la Commission permanente du Senat sur les Peuples autochtones au cours de la première session de la trente-huitième législature pendant son étude du sujet-matière de la Loi S-16, An Act providing"
22,"Honourable senators, I give notice that at the next sitting of the Senate, I will move: That the Standing Senate Committee on Transport and Communications be authorized to examine and report on the objectives, operation and governance of the Canadian Television Fund, and That the Committee submit its final report no later than June 30, 2007.","Honorables senateurs, je donne avis que, ` ´ ´ a la prochaine seance du Senat, je proposerai : ´ ´ Que le Comite senatorial permanent des transports et des ´ ` communications soit autorise a examiner, pour en faire rapport, les objectifs, le fonctionnement et le mode de ´ ´ gouvernance du Fonds canadien de television; Que le Comite soumette son rapport final au plus tard le ´ 30 juin 2007.","1. Le comité permanent du Sénat dont j'ai la charge, à l'exception du comité spécial sur les problèmes de l'industrie cinématographique, aura la mission de s'assurer que les objectifs et l'administration du Fonds de télévision canadien soient examinés et que les recommandations du comité soient soumises à la commission permanente pour approbation et mise en application. 2. Le comité aura la mission d'examiner et de faire un rapport sur les objectifs, l'administration et le gouvernement du Fonds de télévision canadien. 3. Le comité aura la mission de soumettre son rapport final le 30 juin 2007. ##
"
23,"´ Hon. Celine Hervieux-Payette (Leader of the Opposition): Will the Leader of the Government in the Senate tell us how the Prime Minister can still claim to wish to protect the environment when, yesterday, he ordered his caucus to vote against the motion to honour Kyoto protocol commitments and did not even participate in the vote?",´ L’honorable Celine Hervieux-Payette (leader de l’opposition) : ´ Madame le leader du gouvernement au Senat peut-elle nous indiquer comment le premier ministre peut encore pre´ tendre ´ ´ ` vouloir proteger l’environnement alors qu’il a ordonne hier a son ` caucus de voter contre la motion qui vise a respecter les engagements du Protocole de Kyoto et qu’il n’a pas daigne´ participer au vote?,´ L’hon. Céline Hervieux-Payette (Leader of the Opposition): Faites-nous savoir comment le premier ministre peut encore prétendre protéger l’environnement alors qu’hier il a ordonné à son caucus de voter contre la motion sur les engagements de la Charte de Kyoto et qu’il n’a pas même participé à la vote? ## English: ´ Hon. Bill Graham (Minister of Foreign Affairs): I am sure that the Prime Minister’s participation in the vote would have been a waste of his time. ## French: ´ L’hon. Bill Graham (Ministre des Affaires étrangères): Je suis sûr que la participation du premier ministre à la vote aurait été un gaspill
24,"We will work hard with the committee studying the bill to get things done on the environment, and I hope the honourable senator will urge her Liberal colleagues in the other place to work with that committee in order to strengthen Bill C-30 in the interests of all Canadians.","Nous allons travailler fort, avec le comite ´ ´ ´ ´ charge d’etudier le projet de loi, afin d’obtenir que les choses se ` fassent dans le dossier de l’environnement. J’espere par ailleurs que ´ ` ´ ` le senateur exhortera ses collegues liberaux de l’autre endroit a ´ travailler avec le comite afin que le projet de loi C-30 en revienne ´ ˆ avec plus de mordant, dans l’interet de tous les Canadiens.","1. Nous travaillons avec la commission chargée de l'étude de la loi pour mettre les choses en mouvement sur l'environnement et j'espère que l'honorable sénatrice va encourager ses collègues libéraux dans la Chambre des communes à travailler avec cette commission afin de renforcer la loi C-30 dans l'intérêt de tous les Canadiens. ##

### Status:

Passed

### Keywords

Environment, Environmental Assessment, Environmental Protection, Environmental Regulations, Environmental Standards, Environmental S"
25,"Why then, in view of this recent massive scientific support, did the Conservatives vote against Kyoto again last night in the House? Hon. Marjory LeBreton (Leader of the Government and Secretary of State (Seniors)):","Pourquoi alors, compte tenu de cet ´ ´ appui recent et en bloc de la communaute scientifique, les ´ conservateurs ont-ils de nouveau vote contre le Protocole de Kyoto hier soir a la Chambre des communes? ` L’honorable Marjory LeBreton (leader du gouvernement et ´ ´ ´ ´ ´ ` ´ secretaire d’Etat (Aıˆ nes)) :","Être-ci, pourquoi, alors, en dépit de cette récente et massive appuie scientifique, pourquoi le Conservateur a voté contre Kyoto une nouvelle fois, la nuit dernière, dans la Chambre?

### English: Why then, in view of this recent massive scientific support, did the Conservatives vote against Kyoto again last night in the House?

### French: Être-ci, pourquoi, alors, en dépit de cette récente et massive appuie scientifique, pour"
26,"Honourable senators, I will not respond to such suggestions because, for example, we could ask Mr. Chretien ´ to repudiate his reasoning for signing on to the Kyoto Protocol in the first place.","Honorables senateurs, je ne vais pas reagir ` a de telles propositions. En effet, nous pourrions demander, par ` ´ ´ ´ exemple, a M. Chretien de repudier le raisonnement qui l’a mene au ´ ` depart a signer le Protocole de Kyoto.","´ Les senateurs, je ne répondrai pas à de telles suggestions parce que, par exemple, nous pourrions demander à M. Chrétien de repudier son raisonnement pour avoir signé le protocole de Kyoto au début. ##

The Hon. the Speaker pro tempore:

The Hon. the Speaker pro tempore:

The Hon. the Speaker pro tempore:

The Hon. the Speaker pro tempore:

The Hon. the Speaker pro"
27,"Senator LeBreton: Honourable senators, as I pointed out earlier, the motion voted for by the majority in the House of Commons — where, we must remember, there is a minority government — does not, in the view of the government, recognize our real challenge, which is dealing with the proposed clean air act.","Honorables senateurs, comme je l’ai deja ´ ´ ` signale, la motion adoptee par la majorite a la Chambre des ´ ´ ´ ` ` communes — ou siege, souvenons-nous en, un gouvernement ` minoritaire —, ne reconnaıˆ t pas, de l’avis du gouvernement, ce ´ ´ ` ´ qui constitue notre veritable defi, a savoir l’etude du projet de loi sur ´ la qualite de l’air.",● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le Sénateur LeBreton: ● Le
28,John Diefenbaker is turning over in his grave. Senator Banks:,Je voudrais revenir a la reponse que madame ´ ´ le leader du gouvernement a donnee au senateur Eggleton.,1. Le ministre des finances est un mauvais gestionnaire. 2. Le ministre des finances n'a pas la capacité de gérer le budget. 3. Le ministre des finances n'a
29,The choices are: The Canadian Wheat Board; not the Canadian Wheat Board; or a marketing choice.,Les choix sont les suivants : la ´ ´ Commission canadienne du ble ou non et la possibilite de choisir les ´ modalites de commercialisation.,"1. L'option est: La Commission canadienne du blé; ou non la Commission canadienne du blé; ou la liberté d'achat et de vente.

The Canadian Wheat Board

by

Edward B. Hicks

[197"
30,"On January 22, Minister Strahl announced the ballot question. The question allows voters the choice to either:",La question que le ministre Strahl a rendue publique le 22 janvier donne un triple choix a ceux qui voteront :,"22 janvier, le ministre Strahl annonce la question du scrutin. La question permet aux électeurs de choisir entre: ##
- {{NOUN}} 1. {{NOUN}} 2. {{NOUN}} 3. {{NOUN}} 4. {{NOUN}} 5"
31,"DELAYED ANSWERS TO ORAL QUESTIONS Hon. Gerald J. Comeau (Deputy Leader of the Government): Honourable senators, I have the honour to table two responses to oral questions raised in the Senate by Senator Rompkey, on October 31, 2006, regarding the Workplace Equity Office, closure of services in Atlantic region, and by Senator Grafstein, on October 31, and on November 8, 2006, regarding the increase of minimum wage in federal jurisdiction.","` ´ ´ ´ REPONSES DIFFEREES A DES QUESTIONS ORALES L’honorable Gerald J. Comeau (leader adjoint du gouvernement) : ´ ´ ´ ` Honorables senateurs, j’ai l’honneur de deposer deux reponses a des ´ ´ questions orales posees par l’honorable senateur Rompkey, le ´ ´ 31 octobre 2006, concernant le Bureau de l’equite en milieu de travail, la suppression des services dans la region Atlantique, et par ´ ´ le senateur Grafstein, le 31 octobre et le 8 novembre 2006, concernant l’augmentation du salaire minimum des travailleurs sous reglementation federale.","2 REPONSES AUX QUESTIONS ORALES SENATORIELLES Hon. Gerald J. Comeau (depute leader of the government): Honourable senators, I have the honour to table two responses to oral questions raised in the Senate by Senator Rompkey, on October 31, 2006, regarding the Workplace Equity Office, closure of services in Atlantic region, and by Senator Grafstein, on October 31, and on November 8, 2006, regarding the increase of minimum wage in federal jurisdiction.
Senator Comeau: Honourable senators, with leave of the Senate and notwithstanding rule 58(1)(a), I move:
That the report be concurred in.
Hon. Terry Stratton (Deputy Leader of the Opposition): Honourable senators, with leave of the Senate and notwithstanding rule 58(1)(a), I move:
That the report be not concurred in.
The Deputy Leader of the Opposition: Honourable senators, I seek leave to revert to the order of the Senate"
32,Answer: There is a wide range of studies on the minimum wage issue.,Il existe une vaste gamme d’etudes traitant de la question du salaire minimum.,1. Qu'est-ce que vous en pensez? 2. Qu'est-ce que vous croyez? 3. Qu'est-ce que vous pensez? 4. Qu'est
33,"Saunders, Ron (2006). Risk and Opportunity:",100 du ´ salaire minimum a des repercussions de l’ordre de ` 1 p.,"

Saunders, Ron (2006). Risques et opportunités: ## German: 

Saunders, Ron (2006). Risiken und Chancen: ## Italian: 

"
34,OECD (1998). ‘‘Making the Most of the Minimum Wage:,"Deuxie`mement, les effets ne´gatifs sur l’emploi des jeunes adultes sont ge´ne´ralement voisins de ze´ro ou non significativement diffe´rents de ze´ro.","1998. OCDE. ‘‘Faire le meilleur avec le minimum-salaire: ##

## English: OECD (1998). ‘‘Making the Most of the Minimum Wage: ## French: 1998."
35,"The Hon. the Speaker pro tempore informed the Senate that a message had been received from the House of Commons returning Bill S-1001, respecting Scouts Canada, and acquainting the Senate that they had passed this bill without amendment.",´ Reseaux canadiens de recherche en politiques publiques. http ://www.cprn.org/fr/doc.cfm?doc=1410 Une analyse documentaire recente des RCRPP sur l’effet ´ du salaire minimum arrive aux memes conclusions. Elle ˆ laisse entendre que si le salaire minimum est majore´ de ` 10 p.," Le président a informé le Sénat que la Lettre du Sénat a été reçue de la Chambre des communes, renvoyant Bill S-1001, concernant Scouts Canada, et a informé le Sénat qu'elle a été adoptée sans modification.

### French: The Hon. the Speaker pro tempore informed the Senate that a message had been received from the House of Commons returning Bill S-1001, respecting Scouts Canada, and acquainting the Senate that they had passed this bill without amendment."
36,"I will address my remarks to honourable senators on the aspect of the powers of the Parliament of Canada to enact such a bill, which is referred to in the preamble to Bill S-4, in the fifth ‘‘whereas,’’ which reads: WHEREAS, by virtue of section 44 of the Constitution Act, 1982, Parliament may make laws to amend the Constitution of Canada in relation to the Senate; Before I address honourable senators on the scope of section 44 of the Constitution Act, I want to make some general comments on the appropriateness of that bill.","´ Mes remarques aux honorables senateurs vont porter sur le pouvoir du Parlement du Canada de promulguer une telle mesure, ´ dont il est fait mention dans le preambule du projet de loi S-4, au ` ´ cinquieme alinea, qui se lit comme suit : qu’en vertu de l’article 44 de la Loi constitutionnelle de 1982 le Parlement a competence pour modifier les dispositions de la ´ Constitution du Canada relatives au Senat; ´ ´ ´ Avant d’entretenir les honorables senateurs de la portee de l’article 44 de la Loi constitutionnelle, je veux formuler certaines ´ ´ remarques generales sur la pertinence de ce projet de loi.","Ça me paraît que je dois adresser mes remarques à l’honorable sénateurs au sujet de l’aspect des pouvoirs du parlement du Canada pour faire un tel projet de loi, qui est référé dans le préambule de la Loi S-4, dans le cinquième « oùas, qui lit: OUAS, par le moyen de la section 44 de la Constitution Act, 1982, le parlement peut faire des lois pour modifier la Constitution du Canada en relation à la Chambre haute. ## English: That is a matter for which I will have to address honourable senators in some detail. But I would like to say that the scope of section 44 is limited. The section does not give the Parliament of Canada the power to make any law whatsoever. It does not give the Parliament of Canada the power to make any law at all. What section 44 does give the Parliament of Canada the power to do is to make laws to amend the Constitution of Canada in relation to the Senate. That is the scope of the section. It is the scope of the section. I have been asked whether the section would permit the Parliament of Canada to amend the Constitution of Canada in relation to the Senate to the effect"
37,"The Constitution provides that a candidate cannot be called upon by the Governor General to sit in this chamber until he or she is 30 years old, so, of course, the maximum tenure is 45 years.","En vertu de la Constitution, le gouverneur general ne ´ ´ ´ ´ peut nommer que des senateurs ages de 30 ans revolus. De toute ˆ ´ ´ ´ ´ ´ evidence, la duree du mandat des senateurs ne peut donc depasser 45 ans.","Être éligible à la Chambre des communes, la Constitution prévoit que l’on ne peut être appelé par le gouverneur général à siéger ici que dès qu’on a atteint l’âge de 30 ans. ## English: The Constitution provides that a candidate cannot be called upon by the Governor General to sit in this chamber until he or she is 30 years old, so, of course, the maximum tenure is 45 years. ## French: "
38,Will this be the argument for changing the tenure of senators? Professor Baier continued:,Est-ce qu’on va faire de cela l’argument en faveur de la modification du mandat des senateurs? ´ Le professeur Baier poursuit :,1. # The Senate is an institution that dates back to the 19th century. It has no place in the 21st century. # The Senate is a relic of the past. It is an anachronism. # The Senate is
