,english,french,translation
11,"The course is one of three career courses (all given at CFSATE) necessary for advancement within the Imagery Technician occupation.  Consisting of 10 training days, it is designed to provide the required tools to prepare Image Techs at the Master Corporal/Sergeant level to administer and operate a Wing or Base Imaging Section. The Pilot course wrapped up with the graduation of twelve students.","Ce cours est un des trois cours (tous donnés à l'ETGAFC) qui sont nécessaires à la progression au sein du métier de technicien/technicienne en imagerie.  D'une durée de 10 jours, le cours est conçu pour fournir aux techniciens en imagerie (grade de caporal-chef et sergent) les outils nécessaires à l'administration et à l'opération d'une section d'imagerie de la base ou de l'escadre.","10 jours de cours, il est conçu pour fournir les outils nécessaires à l'étude de l'élève pour devenir caporal-sergent de l'Image. Ce cours a été suivi de la remise de diplôme à douze élèves.  Ce cours a été présenté en deux séances, la première étant tenue du 13 au 17 mars 2006 et la deuxième du 27 au 31 mars 2006.  Ce cours a été présenté par le personnel de la Direction des services de renseignement de l'armée de terre (DSSI).  Le cours est l'un des trois cours de carrière (tous présentés à CFSATE) nécessaires à l'avancement dans l'occupation d'Imageuriste.  Il est composé de "
12,"The design of the course provides for two Performance Objectives (P.O.): P.O. 401, Manage Imaging Services and P.O. 402, Manage Imaging Resources.  The first week’s training encompassed such topics as Imaging Management Information, Imaging Workflow, Product Quality Control, Customer Service Techniques, organizations, and Financial responsibility.","Le cours pilote, qui s'est terminé avec une remise de diplômes pour 12 stagiaires, comprenait deux objectifs de rendement (OREN): l'OREN 401, Gestion de services d'imagerie, et l'OREN 402, Gestion de ressources d'imagerie.  La première semaine d'instruction comprend des sujets tels que la gestion de services d'imagerie, acheminement du travail, contrôle de la qualité du produit, techniques de service à la clientèle, et responsabilité financière.","401, Gestion des services d’imagerie et 402, Gestion des ressources d’imagerie.  La première semaine de formation s’est concentrée sur les sujets suivants : l’information sur la gestion des services d’imagerie, le flux de travail, la qualité des produits, les techniques de service client, les organismes et la responsabilité financière.  Cette formation a été suivie d’une semaine de stage.  Durant la semaine de stage, les stagiaires ont été envoyés dans des bureaux de la DND afin d’y effectuer des tâches et des travaux d’imagerie.  Cette formation a été suivie d’une semaine de stage.  Durant la semaine de stage, les stagiaires"
13,"Feedback from the students was extremely positive and many stated the course was long overdue and necessary in the performance of their everyday work.  Sgt Éric Jolin, an Image Tech serving with the Governor General’s Office in Ottawa was recognized as the top student.  COURSE PHOTO  1st row: Sgt Ron Hartlen; WO Guy Tardif (Course Director & Instructor); Sgt Randy Rice (Instructor/instructeur); MCpl Lou Penney. 2nd row:","Plusieurs d'entre eux ont affirmé que le contenu de ce cours est absolument nécessaire à l'accomplissement de leurs tâches journalières.  Le Sgt Éric Jolin, un technicien en imagerie au service du Cabinet de la Gouverneure générale à Ottawa, s'est mérité le titre de meilleur stagiaire.  PHOTO DU COURS  Au 1er rang: le Sgt Ron Hartlen; Adj Guy Tardif (superviseur du cours et instructeur); Sgt Randy Rice (instructeur); Cplc Lou Penney. Au 2e rang:",30.000 tonnes de poissons. 30.000 tonnes de crustacés. 10.000 tonnes de mollusques. 10.000 tonnes de coquillages. 10.000 tonnes de fruits de mer. 20.000 tonnes de fruits de mer. 30.000 tonnes de produits de la mer. 10.000 tonnes de produits de la mer. 10.000 tonnes de produits de la mer. 10.000 tonnes de produits de la mer. 10.000 tonnes de produits de la mer. 10.000 tonnes de produits de la mer. 10.000 tonnes de produits de la mer. 10.000 tonnes de produits de la mer. 10.000 tonnes de produits de la mer. 10.000 tonnes de produits de la mer. 10.000 tonnes de produits
14,"THE SENATE Tuesday, February 6, 2007 The Senate met at 2 p.m., the Speaker pro tempore in the chair.",[Traduction] les changements climatiques sont « un complot socialiste visant a ` siphonner de l’argent aux pays producteurs de richesse ». Nous esperons que son opinion a change.,"2007-02-06 Les membres du Sénat ont répondu à l'appel à la séance du 2 février 2007. ### English: THE SENATE Tuesday, February 6, 2007 The Senate met at 2 p.m., the Speaker pro tempore in the chair. ## French: 2007-02"
15,"Earlier this month, on January 9, the new weather forecasting centre opened at the Gander International Airport terminal. It marked the first time since July 5, 2004, that the forecast originated in Newfoundland and Labrador.","´ ´ Desireux de souligner les efforts de ces deux candidats pour attirer l’attention du monde sur l’impact des changements climatiques, les ´ ´ ´ ´ deputes norvegiens voulaient egalement signaler leur contribution au developpement de solutions concretes a ce probleme.","9 janvier, le nouveau centre de prévision des conditions météorologiques a ouvert au terminal de l'aéroport de Gander. C'est la première fois depuis le 5 juillet 2004 que les prévisions ont été préparées en Terre-Neuve et Labrador. ### Topic » Exporting to the World - The Netherlands 2006-01-10 The Netherlands: • The Netherlands has the second largest economy in Europe, and the fifth largest in the world. • The Netherlands has one of the world's largest export markets. •"
16,"It is also positive because it marks a return of much needed federal jobs to my province. Honourable senators, I would like to commend and congratulate Gander resident Pat Dwyer.",´ ˆ ` ´ ´ C’est au cours de ses premieres annees en tant que presidente de la ´ Conference circumpolaire inuit qu’elle a reussi a convaincre les Etats ´ ´ ` membres de cet organisme de signer un accord visant a interdire la ` production et l’utilisation de polluants qui contaminent la chaıˆ ne alimentaire de l’Arctique.,"Ça est également une bonne nouvelle, car elle marque le retour d'emplois fédéraux à mon province. L'honorable sénateur, je voudrais féliciter et féliciter Pat Dwyer, résident de Gander. ### English: It is also positive because it marks a return of much needed federal jobs to my province. Honourable senators, I would like to commend and congratulate Gander resident Pat Dwyer"
17,Pat decided to get involved because he was concerned for the lives of people living in this province who travel the highways and the seas.,"Elle ´ recevait, au cours de la meme annee, le Prix Hommage pour ˆ ´ l’ensemble de ses realisations lors de la remise des Prix canadiens de l’environnement. . (1405)",1. Le ministre de la justice du Québec a rendu public le rapport de la Commission d'enquête sur les accidents de la route en 2004. 2. Le rapport de la Commission d'enquête sur les accidents de la route en 2004 a été rendu public le 29
18,"I also thank and commend Pat Dwyer for taking the initiative to organize the petition and to get out in the community and mobilize people around this issue. He really raised the profile of the weather forecasting situation, and I believe his efforts were","` Cette nouvelle est particulierement importante dans une province ´ ´ comme la mienne, ou les conditions me te orologiques sont ` ´ ´ ´ exceptionnelles et ou les previsions meteorologiques revetent une ` ˆ ´ importance fondamentale pour les industries robustes axees sur l’environnement et les technologies oceaniques.",2006. I thank Pat Dwyer for having initié la pétition et pour avoir fait pression sur les gens pour que ce problème soit résolu. Il a fait connaître le problème du prévisionnisme météorologique et je pense que ses efforts ont porté leurs fruits. 2006. Je remercie Pat Dwyer de l’avoir initiée et de l’avoir mobilisée pour que ce problème soit résolu. Il a fait connaître le problème du prévisionnisme météorologique et je pense que
19,"During her early years as chair of the Inuit Circumpolar Council, she succeeded in convincing the organization’s member States to sign an agreement banning the production and use of pollutants that contaminate the Arctic food chain.","Je suis ravie de constater qu’il passe ` ´ maintenant a l’action. Il a dit qu’il allait re´ tablir le service regional ´ ´ ´ de previsions meteorologiques, et il a encore une fois tenu sa promesse.",1. La pêche est une des principales ressources économiques de l'île de Baffin. 2. La pêche à la morue est le principal secteur de la pêche de l'île de Baffin. 3. La pêche à la morue représente 95 % de la production de l'île de Baffin. 4. La pêche à la morue est la principale source de revenus de la population. 5. La pêche à la morue est
20,"Hon. Claudette Tardif (Deputy Leader of the Opposition): Honourable senators, yesterday Radio-Canada released the results of a survey it commissioned to mark the fortieth anniversary of the Laurendeau-Dunton Royal Commission, which led to the adoption of the Official Languages Act in 1969.","L’honorable Claudette Tardif (leader adjoint de l’opposition) : ´ ´ ´ Honorables senateurs, hier, la Societe Radio-Canada rendait publics les resultats d’un sondage qu’elle a commande afin de souligner le ´ ´ e 40 anniversaire de la Commission royale d’enquete Laurendeauˆ Dunton, dont les travaux ont mene a l’adoption de la Loi sur les ´ ` langues officielles en 1969.","1. Mme Claudette Tardif (députée de l'opposition): L'honorable sénatrice, hier soir Radio-Canada a rendu public les résultats d'une enquête qu'elle a commandée pour célébrer la 40e année de la Commission royale Laurendeau-Dunton, qui a conduit à l'adoption de la Loi sur les langues officielles en 1969. 2. Mme Claudette Tardif (députée de l'opposition): L'honorable sénatrice, hier soir Radio-Canada a rendu public les résultats d'une enquête qu'elle a commandée pour célébrer la 40e année de la Commission royale Laur"
21,"Honourable senators, I give notice that at the next sitting of the Senate I shall move: That the papers and evidence received and taken and the work accomplished by the Standing Senate Committee on Aboriginal Peoples during the First session of the Thirty-eighth Parliament during its study of the subject matter of Bill S-16, An Act providing for the Crown’s recognition of self-governing First Nations of Canada, be referred to the said Committee for its study on Bill S-216, An Act providing for the Crown’s recognition of self-governing First Nations of Canada.","Honorables senateurs, je donne ´ ` ´ ´ avis que, a la prochaine seance du Senat, je proposerai : ´ Que les documents recus, les temoignages entendus et les ¸ ´ ´ travaux accomplis par le Comite senatorial permanent des ` peuples autochtones au cours de la premiere session de la ` ´ ´ trente-huitieme legislature pendant son etude de la teneur du ´ projet de loi S-16, Loi prevoyant la reconnaissance par la Couronne de l’autonomie gouvernementale des premie` res nations du Canada, soient renvoyes audit Comite pour son ´ ´ etude sur le projet de loi S-16, Loi prevoyant la reconnaissance ´ ´ par la Couronne de l’autonomie gouvernementale des ` premieres nations du Canada.","1. L'honorable sénateur, je donne avis que, à l'approche de la prochaine session du Sénat, je m'envoyerai la motion suivante : Que les documents et les preuves reçus et pris et les travaux accomplis par la Commission permanente du Sénat sur les peuples autochtones du Canada pendant la première session du Trente-huitième Parlement, en ce qui concerne l'étude de la matière de la Loi S-16, qui proclame que le Roi reconnaît que les peuples autochtones du Canada sont souverains, soient envoyées à la dite Commission pour l'étude de la Loi S-216, qui proclame que le Roi reconnaît que les peuples autochtones du Canada sont souverains. 2. L'honorable sénateur, je donne avis que, à l'approche de la prochaine session du Sénat, je m'envoyerai la motion suivante : Que le projet de loi S-216, qui proclame que le Roi reconnaît que les peuples autochtones du Canada sont souver"
22,"Honourable senators, I give notice that at the next sitting of the Senate, I will move: That the Standing Senate Committee on Transport and Communications be authorized to examine and report on the objectives, operation and governance of the Canadian Television Fund, and That the Committee submit its final report no later than June 30, 2007.","Honorables senateurs, je donne avis que, ` ´ ´ a la prochaine seance du Senat, je proposerai : ´ ´ Que le Comite senatorial permanent des transports et des ´ ` communications soit autorise a examiner, pour en faire rapport, les objectifs, le fonctionnement et le mode de ´ ´ gouvernance du Fonds canadien de television; Que le Comite soumette son rapport final au plus tard le ´ 30 juin 2007.","1. Je donne avis que, à l’époque de la prochaine séance de la chambre haute, j’invoquerai : Que le Comité permanent des affaires de transport et de communication examine et rendra un rapport sur les objectifs, l’organisation et le gouvernance du Fonds de télévision canadien, et Que le Comité rendra son rapport final au 30 juin 2007. 2. Je donne avis que, à l’époque de la prochaine séance de la chambre haute, j’invoquerai : Que le Comité permanent des affaires de transport et de communication examine et rendra un rapport sur les objectifs, l’organisation et le gouvernance du Fonds de télévision canadien, et Que le"
23,"´ Hon. Celine Hervieux-Payette (Leader of the Opposition): Will the Leader of the Government in the Senate tell us how the Prime Minister can still claim to wish to protect the environment when, yesterday, he ordered his caucus to vote against the motion to honour Kyoto protocol commitments and did not even participate in the vote?",´ L’honorable Celine Hervieux-Payette (leader de l’opposition) : ´ Madame le leader du gouvernement au Senat peut-elle nous indiquer comment le premier ministre peut encore pre´ tendre ´ ´ ` vouloir proteger l’environnement alors qu’il a ordonne hier a son ` caucus de voter contre la motion qui vise a respecter les engagements du Protocole de Kyoto et qu’il n’a pas daigne´ participer au vote?,"´ L’hon. Céline Hervieux-Payette (chef du Opposition): Est-ce que le chef du gouvernement dans le Sénat nous dira comment le premier ministre peut toujours prétendre vouloir protéger l’environnement alors que, hier, il a ordonné à son groupe de voter contre la motion en l’honneur des engagements du Protocole de Kyoto et qu’il n’a pas participé au vote?                                                                       "
24,"We will work hard with the committee studying the bill to get things done on the environment, and I hope the honourable senator will urge her Liberal colleagues in the other place to work with that committee in order to strengthen Bill C-30 in the interests of all Canadians.","Nous allons travailler fort, avec le comite ´ ´ ´ ´ charge d’etudier le projet de loi, afin d’obtenir que les choses se ` fassent dans le dossier de l’environnement. J’espere par ailleurs que ´ ` ´ ` le senateur exhortera ses collegues liberaux de l’autre endroit a ´ travailler avec le comite afin que le projet de loi C-30 en revienne ´ ˆ avec plus de mordant, dans l’interet de tous les Canadiens.","11, 1999, p. 11. 3. 2. 1999, p. 4. 4. 1999, p. 5. 5. 1999, p. 6. 6. 1999, p. 1. 7. 1999, p. 2. 8. 1999, p. 2. 9. 1999, p. 3. 10. 1999, p. 3. 11. 19"
25,"Why then, in view of this recent massive scientific support, did the Conservatives vote against Kyoto again last night in the House? Hon. Marjory LeBreton (Leader of the Government and Secretary of State (Seniors)):","Pourquoi alors, compte tenu de cet ´ ´ appui recent et en bloc de la communaute scientifique, les ´ conservateurs ont-ils de nouveau vote contre le Protocole de Kyoto hier soir a la Chambre des communes? ` L’honorable Marjory LeBreton (leader du gouvernement et ´ ´ ´ ´ ´ ` ´ secretaire d’Etat (Aıˆ nes)) :","1 - Pourquoi donc, en l'occurrence, a-t-elle voté contre Kyoto, hier soir, à la Chambre? Leader of the Government and Secretary of State (Seniors) : ### French: 1 - Pourquoi donc, en l'occurrence, a-t-elle voté contre Kyoto, hier soir, à la Chambre? Leader of the Government and Secretary of State (Seniors) : 1 - Pourquoi donc, en l'occurrence, a-t-elle vot"
26,"Honourable senators, I will not respond to such suggestions because, for example, we could ask Mr. Chretien ´ to repudiate his reasoning for signing on to the Kyoto Protocol in the first place.","Honorables senateurs, je ne vais pas reagir ` a de telles propositions. En effet, nous pourrions demander, par ` ´ ´ ´ exemple, a M. Chretien de repudier le raisonnement qui l’a mene au ´ ` depart a signer le Protocole de Kyoto.","118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 14"
27,"Senator LeBreton: Honourable senators, as I pointed out earlier, the motion voted for by the majority in the House of Commons — where, we must remember, there is a minority government — does not, in the view of the government, recognize our real challenge, which is dealing with the proposed clean air act.","Honorables senateurs, comme je l’ai deja ´ ´ ` signale, la motion adoptee par la majorite a la Chambre des ´ ´ ´ ` ` communes — ou siege, souvenons-nous en, un gouvernement ` minoritaire —, ne reconnaıˆ t pas, de l’avis du gouvernement, ce ´ ´ ` ´ qui constitue notre veritable defi, a savoir l’etude du projet de loi sur ´ la qualite de l’air.","2006-05-04 - Le ministre des Affaires étrangères, de la Chasse et des Affaires intergouvernementales, le ministre de la Défense nationale et le ministre des Anciens combattants et des Vétérans - 2006-05-04 - Le ministre des Affaires étrangères, de la Chasse et des Affaires intergouvernementales, le ministre de la Défense nationale et le ministre des Anciens combattants et des Vétérans - 2006-05-04 - Le ministre des Affaires étrangères, de la Chasse et des Affaires intergouvernementales,"
28,John Diefenbaker is turning over in his grave. Senator Banks:,Je voudrais revenir a la reponse que madame ´ ´ le leader du gouvernement a donnee au senateur Eggleton.,1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.
29,The choices are: The Canadian Wheat Board; not the Canadian Wheat Board; or a marketing choice.,Les choix sont les suivants : la ´ ´ Commission canadienne du ble ou non et la possibilite de choisir les ´ modalites de commercialisation.,1. L'option la plus fréquemment choisie est celle du Canadian Wheat Board. 2. Les autres options sont : ne pas choisir le Canadian Wheat Board ou choisir une autre option de commercialisation. ### French: 1. La plus fréquemment
30,"On January 22, Minister Strahl announced the ballot question. The question allows voters the choice to either:",La question que le ministre Strahl a rendue publique le 22 janvier donne un triple choix a ceux qui voteront :,"22 janvier, le ministre Strahl a annoncé la question du scrutin. La question permet aux électeurs de choisir entre : ### French: On January 22, Minister Strahl announced the ballot question. The question allows voters to choose between: ### English: 22 janvier,"
31,"DELAYED ANSWERS TO ORAL QUESTIONS Hon. Gerald J. Comeau (Deputy Leader of the Government): Honourable senators, I have the honour to table two responses to oral questions raised in the Senate by Senator Rompkey, on October 31, 2006, regarding the Workplace Equity Office, closure of services in Atlantic region, and by Senator Grafstein, on October 31, and on November 8, 2006, regarding the increase of minimum wage in federal jurisdiction.","` ´ ´ ´ REPONSES DIFFEREES A DES QUESTIONS ORALES L’honorable Gerald J. Comeau (leader adjoint du gouvernement) : ´ ´ ´ ` Honorables senateurs, j’ai l’honneur de deposer deux reponses a des ´ ´ questions orales posees par l’honorable senateur Rompkey, le ´ ´ 31 octobre 2006, concernant le Bureau de l’equite en milieu de travail, la suppression des services dans la region Atlantique, et par ´ ´ le senateur Grafstein, le 31 octobre et le 8 novembre 2006, concernant l’augmentation du salaire minimum des travailleurs sous reglementation federale.","1999-2000) and 2001-2002 (Statistics Canada, 2004). ### English: 2006) and 2005 (Statistics Canada, 2006). 12. Canadian Heritage, 2006. 13. Canadian Heritage, 2006. 14. 2005-2006 Report on the State of the Art, p. 26. 15. 2005-2006 Report on the State of the Art, p. 27. 16. 2005-2006 Report on the State of the Art, p. 28. 17. 2005-2006 Report on the State of the Art, p. 29. 18. 2005-2006 Report on the State of the Art, p. 30. 19. 2005-2006 Report on the State of the Art, p. 31. 20. 2005-"
32,Answer: There is a wide range of studies on the minimum wage issue.,Il existe une vaste gamme d’etudes traitant de la question du salaire minimum.,1. Que pensez-vous du revenu minimum? 2. Que pensez-vous du revenu minimum? 3. Que pensez-vous du revenu minimum? 4. Que pensez
33,"Saunders, Ron (2006). Risk and Opportunity:",100 du ´ salaire minimum a des repercussions de l’ordre de ` 1 p.,"2006. ### Top of page English: Saunders, Ron (2006). Risk and Opportunity: ### Top of page 2006. 2006. Top of page 1. Top"
34,OECD (1998). ‘‘Making the Most of the Minimum Wage:,"Deuxie`mement, les effets ne´gatifs sur l’emploi des jeunes adultes sont ge´ne´ralement voisins de ze´ro ou non significativement diffe´rents de ze´ro.","1998. ### Anglais: OCDE, 1998, « Making the Most of the Minimum Wage: ### Français: 1998. 1998. 2004. 1998. "
35,"The Hon. the Speaker pro tempore informed the Senate that a message had been received from the House of Commons returning Bill S-1001, respecting Scouts Canada, and acquainting the Senate that they had passed this bill without amendment.",´ Reseaux canadiens de recherche en politiques publiques. http ://www.cprn.org/fr/doc.cfm?doc=1410 Une analyse documentaire recente des RCRPP sur l’effet ´ du salaire minimum arrive aux memes conclusions. Elle ˆ laisse entendre que si le salaire minimum est majore´ de ` 10 p.,"2005-06-09 15:00:00 Le président du Sénat a annoncé aux membres du Sénat que le Sénat recevait un message du Chambre des communes portant sur le projet de loi S-1001, concernant les Scouts Canada, et lui annonçant que le Chambre des communes avait adopté ce projet de loi sans amendement. ### French: The Hon. the Speaker pro tempore informed the Senate that a message had been received from the House of Commons returning Bill S-1"
36,"I will address my remarks to honourable senators on the aspect of the powers of the Parliament of Canada to enact such a bill, which is referred to in the preamble to Bill S-4, in the fifth ‘‘whereas,’’ which reads: WHEREAS, by virtue of section 44 of the Constitution Act, 1982, Parliament may make laws to amend the Constitution of Canada in relation to the Senate; Before I address honourable senators on the scope of section 44 of the Constitution Act, I want to make some general comments on the appropriateness of that bill.","´ Mes remarques aux honorables senateurs vont porter sur le pouvoir du Parlement du Canada de promulguer une telle mesure, ´ dont il est fait mention dans le preambule du projet de loi S-4, au ` ´ cinquieme alinea, qui se lit comme suit : qu’en vertu de l’article 44 de la Loi constitutionnelle de 1982 le Parlement a competence pour modifier les dispositions de la ´ Constitution du Canada relatives au Senat; ´ ´ ´ Avant d’entretenir les honorables senateurs de la portee de l’article 44 de la Loi constitutionnelle, je veux formuler certaines ´ ´ remarques generales sur la pertinence de ce projet de loi.","1. Je me suis d’abord adressée à l’honorable sénateur sur le caractère approprié de cette loi, qui est mentionné dans le préambule de la Loi C-4, dans la cinquième phrase, qui dit: 1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1"
37,"The Constitution provides that a candidate cannot be called upon by the Governor General to sit in this chamber until he or she is 30 years old, so, of course, the maximum tenure is 45 years.","En vertu de la Constitution, le gouverneur general ne ´ ´ ´ ´ peut nommer que des senateurs ages de 30 ans revolus. De toute ˆ ´ ´ ´ ´ ´ evidence, la duree du mandat des senateurs ne peut donc depasser 45 ans.",2006-01-04 - 2006-01-10 Canada-Hong Kong Business Development Forum 2006-01-10 - 2006-01-13 35th Hong Kong International Lighting Fair 2006-01-11 - 2006-01-15 35th Hong Kong International Building and Decoration Materials Fair 2006-
38,Will this be the argument for changing the tenure of senators? Professor Baier continued:,Est-ce qu’on va faire de cela l’argument en faveur de la modification du mandat des senateurs? ´ Le professeur Baier poursuit :,1. ### English: Will this be the argument for changing the tenure of senators? Professor Baier continued: 1. ### French: 1. ### English: Will this be the argument for changing the tenure of senators? Professor Baier continued
39,"Honourable senators, I compared the ages in this chamber with that of the American Senate, the inspiration for the Triple-E Senate. Allow me to present some figures from that comparison.","´ ´ Honorables senateurs, j’ai compare la pyramide des ages entre ˆ ´ ´ ´ notre assemblee et le Senat des Etats-Unis — l’inspiration pour le Senat dit triple E. Permettez-moi de vous presenter quelques chiffres ´ ´ qui se degagent de cette comparaison.",Êtes-vous en train de remplacer vos 80 ans par des 80 ans plus jeunes ? ### English: Are you in the process of replacing your 80-year-olds with 80-year-olds plus young? 23. (a) What is the average age of senators in the Senate? (b) What is the average age of senators in the American Senate? 24. (a) What is
40,"In less than four years, 30 per cent of the numbers in this chamber will have turned over.","Dans ´ moins de quatre ans, plus de 30 p. 100 des postes de senateur auront ´ ´ change de titulaire.","30 % des membres de la Chambre ont déjà changé d'avis en moins de quatre ans. ### French: 30 % des membres de la Chambre ont déjà changé d'avis en moins de quatre ans. (2006), 200"
41,"The article goes on to say, ‘‘The tender calls for a private thinktank to join forces with a polling firm to canvass a cross-section of Canadians. . . .’’","´ ´ ´ Il est precise dans l’article, « l’appel d’offres prevoit qu’un groupe ´ ´ d’experts prive fera equipe avec une maison de sondage pour consulter un echantillon de Canadiens... » ´ ´ Le senateur Sheila Fraser :",1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28.
42,Who governs this country? Senator Joyal:,Qui gouverne ce pays? ´ ´ Le senateur Joyal :,Êtes-nous gouvernés par un régime démocratique? Le sénateur Joyal : ### French: Qui gouverne ce pays? Le sén
